type,X1,X216,X269,X709,X1001,X1997,X2509,X2711,X2906,X3270,X3430,X4829,X4994,X5347,X5523,X6421,X6513,X6794,X7126,X7157,X7342,X7365,X8699,X8987,X9022,X9560,X9688,X10131,X10437,X11029,X11327,X11925,X13095,X13353,X14289,X14348,X15455,X16156,X16274,X16331,X16349,X16885,X17282,X17316,X17445,X17752,X17794,X18063,X18158,X19664,X20462,X21200,X21487,X22251,X23239,X23932,X24014,X25205,X25206,X25804,X25867,X25933,X26039,X26287,X26615,X26747,X27015,X27121,X27250,X28252,X28544,X28688,X29617,X30321,X30663,X31416,X31695,X31704,X33031,X33110,X33614,X33759,X34236,X34482,X34594,X34988,X36051,X36093,X36210,X36527,X36750,X36904,X37119,X37161,X37279,X37614,X38229,X38382,X38733,X39011,X39033,X39743,X40316,X40395,X41885,X42555,X43479,X44844,X46640,X46946,X47591,X48368,X48462,X48605,X49178,X50448,X50551,X51155,X51280,X52384,X52897,X53495,X53596,X54604,X55033,X55191,X55249,X55561,X56359,X56693,X56717,X57156,X57157,X57170,X57194,X57754,X57771,X57961,X58394,X58599,X58699,X58936,X59011,X59393,X59504,X59505,X59832,X59964,X61629,X61641
1,0,0,13,0,0,0,0,13,20,0,17,0,0,15,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,0,0,14,0,0,0,0,12,0,0,0,0,0,52,0,0,0,0,0,0,15,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2,0,0,32,0,16,0,44,32,0,0,0,0,40,0,0,0,0,0,0,0,11,0,19,10,18,0,0,15,0,14,0,25,12,0,12,27,0,27,0,14,0,0,24,0,17,10,12,0,0,0,0,0,21,12,16,0,0,0,0,0,12,0,18,0,0,0,11,0,12,0,0,12,14,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,12,120,0,10,21,24,0,92,0,12,0,13,0,0,18,24,12,11,24,0,0,0,0,19,0,0,29,12,0,0,13,0,13,0,13,13,0,0,0,14,34,0,0,10,0,12,0,0,0,17,16,23,19,0,0,0,0,13,20,0,0
1,0,0,0,61,12,0,0,0,0,0,0,0,0,18,0,0,0,0,12,12,0,0,14,10,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,17,0,12,0,0,12,44,0,0,0,0,0,0,17,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,132,0,41,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,12,0,0,15,0,0,0,59,0,0,0,0,0,0,23,0,17,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,20,0,0,0,0,0
0,10,0,22,0,12,0,34,22,0,0,19,0,0,13,0,0,0,0,89,0,0,0,0,0,13,0,0,22,0,25,20,0,0,0,0,33,0,0,0,0,14,0,0,0,0,0,0,11,0,15,0,0,14,18,0,0,0,0,0,0,15,0,0,14,12,0,0,10,0,0,0,0,0,0,0,0,0,14,0,24,34,0,37,0,0,23,0,0,0,0,0,0,19,0,0,13,0,0,0,25,13,0,14,13,0,19,11,0,0,0,87,0,0,0,0,0,0,38,0,15,0,13,0,0,15,0,10,0,0,0,0,0,17,0,24,0,0,0,12,22,0,0,0,0,44,0,0,0,0,0
0,0,0,0,0,0,24,0,0,0,0,0,0,12,22,17,23,0,0,119,0,0,0,0,0,22,0,0,13,0,17,16,16,0,0,0,11,0,26,0,14,0,0,28,0,0,10,15,0,13,10,0,0,20,0,12,12,0,0,255,0,22,0,0,0,0,19,0,0,0,17,0,14,14,0,0,10,0,0,0,22,62,13,28,0,0,43,0,0,0,0,0,0,0,13,15,0,0,11,0,43,12,0,12,16,11,18,0,0,0,0,118,0,0,14,16,32,15,0,0,0,0,12,0,11,0,0,0,0,10,10,0,255,0,0,0,12,0,0,14,13,11,0,0,0,42,0,12,13,0,11
0,0,0,10,0,0,0,25,0,14,0,10,22,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,15,0,0,0,0,0,14,0,12,22,44,0,22,0,0,0,0,0,0,0,0,31,0,0,0,27,0,14,0,0,0,0,0,0,0,0,17,11,0,0,0,0,16,0,0,0,13,25,0,0,0,0,79,42,32,16,0,0,0,0,0,12,0,33,0,0,20,19,10,25,0,29,0,0,0,0,17,16,0,0,0,0,0,0,12,0,0,0,33,0,0,0,11,41,0,0,39,0,0,0,17,0,27,0,0,57,0,15,0,0,0,25,15,10,0,0,0,0,0,17,20,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,81,26,0,28,71,0,40,70,0,0,0,0,0,0,23,0,59,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,41,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,15,0,0,0,0,0,0,0,0,11,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,48,0,83,0,0,0,10,59,71,0,0,0,0,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,21,29,11,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,0,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,39,0,11,0,0,0,0,0,0,0,0,10,0,0,86,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
0,0,0,0,0,10,11,0,0,0,16,0,19,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,14,0,19,0,0,0,0,0,25,0,0,0,14,0,10,11,0,0,12,0,16,13,11,0,0,0,0,0,0,13,0,0,10,17,0,0,0,14,0,0,0,0,0,0,0,20,33,10,0,10,0,0,12,0,0,0,0,0,0,16,11,0,0,0,10,0,0,0,0,10,0,10,0,14,0,12,0,0,0,0,0,20,14,10,0,16,14,0,13,0,0,0,0,0,0,14,0,0,14,0,0,10,0,24,11,13,10,0,0,0,0,0,0,16,0,0
1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,33,0,0,11,0,0,17,0,0,0,0,0,10,0,0,12,0,43,14,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,43,0,0,0,0,12,0,0,0,0,55,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,10,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,22,0,0,74,0,0,0,0
